1,Frame
2,Suspension
3,Steering
4,Outboard
5,Brakes
6,Ergonomics
7,Reduction
8,CVT
9,Electrical


12,Engine

14,Driveline Integration
15,Driveshaft
16,Front Differential
17,PTU
18,Disconnect
